ingre_no,ingre_name,ingre_en_name,ingre_allergy
724,포도,NULL,0
725,포도씨유,NULL,0
726,폰즈소스,NULL,0
727,표고,NULL,0
728,표고버섯,NULL,0
729,풋고추,NULL,0
730,풋마늘,NULL,0
731,풋배추,NULL,0
732,풋콩,NULL,0
733,프랑크소시지,NULL,0
734,플레인요구르트,NULL,0
735,피망,NULL,0
736,피쉬소스,NULL,0
737,피시소스,NULL,0
738,피자치즈,NULL,0
739,피조개,NULL,1
740,피클,NULL,0
741,핫소스,NULL,0
742,해물,NULL,0
743,해바라기씨,NULL,0
744,해삼,NULL,0
745,해초,NULL,0
746,해파리,NULL,0
747,햄,NULL,0
748,햇살담은간장,NULL,0
749,허니머스타드,NULL,0
750,허니머스터드,NULL,0
751,허브(민트),NULL,0
752,허브솔트,NULL,0
753,현미,NULL,0
754,호두,NULL,1
755,호박,NULL,0
756,호박씨,NULL,0
757,호박잎,NULL,0
758,홀토마토,NULL,1
759,홍고추,NULL,0
760,홍어,NULL,0
761,홍차티백,NULL,0
762,홍피망,NULL,0
763,홍합,NULL,1
764,화이트와인,NULL,0
765,황설탕,NULL,0
766,후루츠칵테일,NULL,0
767,후추,NULL,0
768,후춧가루,NULL,0
769,훈제연어,NULL,0
770,흑설탕,NULL,0
771,흑임자,NULL,0
772,흰떡,NULL,0
773,흰설탕,NULL,0
774,흰콩,NULL,0
